Outcome,Predictor,Variable,Coefficient,SE,p_value,Sig,Group
Stunting (%),Female Marriage by 18 (%),female_married_by_18,0.154,0.099,0.1233,,Gender
Stunting (%),Female Literacy Rate (%),literacy_f,-0.001,0.093,0.9921,,Education
Stunting (%),Basic Sanitation Access (%),san_bas_nat,-0.164,0.056,0.0046,**,WASH
Wasting (%),Female Marriage by 18 (%),female_married_by_18,0.031,0.033,0.3542,,Gender
Wasting (%),Female Literacy Rate (%),literacy_f,-0.04,0.031,0.205,,Education
Wasting (%),Basic Sanitation Access (%),san_bas_nat,-0.014,0.019,0.4582,,WASH
Overweight (%),Female Marriage by 18 (%),female_married_by_18,-0.028,0.038,0.46,,Gender
Overweight (%),Female Literacy Rate (%),literacy_f,-0.0,0.036,0.9918,,Education
Overweight (%),Basic Sanitation Access (%),san_bas_nat,0.009,0.021,0.6759,,WASH
