country,female_married_by_15,female_married_by_18,male_married_by_18,marriage_gap_18,early_marriage_ratio
United Republic of Tanzania,5.0,29.0,4.0,25.0,0.1724137931034483
United States,,,,,
Uruguay,1.0,25.0,,,0.04
Uzbekistan,0.0,3.0,1.0,2.0,0.0
Vanuatu,5.0,21.0,8.0,13.0,0.23809523809523808
Venezuela (Bolivarian Republic of),,,,,
Viet Nam,1.0,15.0,2.0,13.0,0.06666666666666667
Yemen,7.0,30.0,,,0.23333333333333334
Zambia,5.0,29.0,3.0,26.0,0.1724137931034483
Zimbabwe,5.0,34.0,2.0,32.0,0.14705882352941177
