ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap,overweight_national,overweight_national_ll,overweight_national_ul,overweight_male,overweight_female,overweight_urban,overweight_rural,overweight_Q1_poorest,overweight_Q2,overweight_Q3,overweight_Q4,overweight_Q5_richest,overweight_gender_gap,overweight_wealth_gap,overweight_urban_rural_gap,wasted_only_pct,wasted_and_stunted_pct,stunted_only_pct,stunted_and_overweight_pct,overweight_only_pct,free_from_malnutrition_pct,any_malnutrition_pct,model_year,stunting_model_national,stunting_model_national_ll,stunting_model_national_ul,stunting_model_male,stunting_model_female,stunting_model_male_ll,stunting_model_male_ul,stunting_model_female_ll,stunting_model_female_ul,stunting_model_gender_gap,overweight_model_national,overweight_model_national_ll,overweight_model_national_ul,overweight_model_male,overweight_model_female,overweight_model_male_ll,overweight_model_male_ul,overweight_model_female_ll,overweight_model_female_ul,overweight_model_gender_gap,double_burden_index,malnutrition_composite_score,nutrition_transition_flag,female_married_by_15,female_married_by_18,male_married_by_18,marriage_gap_18,early_marriage_ratio,anc4_15_19_pct,modern_contraceptive_pct,ors_usage_pct,fgm_prevalence_pct,fgm_urban_pct,fgm_rural_pct,fgm_wealth_Q1_poorest,fgm_wealth_Q2,fgm_wealth_Q3,fgm_wealth_Q4,fgm_wealth_Q5_richest,fgm_wealth_gap,fgm_urban_rural_gap,diarrhoea_care_pct,pneumonia_care_pct,itn_use_pct,exclusive_bf_pct,low_birthweight_pct,wat_bas_nat,san_bas_nat,hyg_bas_nat,completion_primary_f,literacy_f
BRN,Brunei Darussalam,EAP,High Income,2009.0,19.6,17.4,22.1,22.6,16.8,,,,,,,,5.800000000000001,,,2.9,2.0,4.1,2.8,3.0,,,,,,,,-0.2000000000000001,,,8.3,6.8,10.1,8.8,7.8,,,,,,,,1.0000000000000009,,,2.3,0.6,18.4,0.6,7.7,70.4,29.599999999999994,2024,9.9,5.6,17.2,11.0,8.8,6.2,19.3,4.9,15.4,2.2,9.5,3.7,22.3,10.1,8.8,3.9,23.5,3.3,21.6,1.299999999999999,27.9,10.266666666666667,0.0,,,,,,,,,,,,,,,,,,,,,,,13.64151602,,99.5,99.5,,99.54606
BTN,Bhutan,SA,Lower Middle Income,2023.0,17.9,,,18.5,17.2,,,,,,,,1.3000000000000007,,,5.1,,,4.9,5.4,,,,,,,,-0.5,,,7.6,6.5,8.8,7.5,7.6,10.0,6.6,6.2,7.1,8.4,6.3,10.2,-0.0999999999999996,-3.999999999999999,-3.4000000000000004,4.6,1.3,27.7,4.6,3.0,58.9,41.1,2024,17.9,15.8,20.1,18.6,17.2,16.4,21.0,15.2,19.4,1.400000000000002,8.0,3.2,18.7,8.5,7.4,3.5,19.5,3.0,17.5,1.0999999999999996,25.5,10.2,0.0,6.0,26.0,,,0.2307692307692307,,,,,,,,,,,,,,52.6,,,69.4,11.43096562,65.11,88.09,,70.8,84.48774
BWA,Botswana,ESA,Upper Middle Income,2007.0,28.9,26.6,31.3,31.6,26.3,25.7,32.1,33.9,34.0,30.7,21.5,19.3,5.300000000000001,14.599999999999998,6.400000000000002,7.3,6.2,8.6,7.5,7.1,6.7,7.8,9.2,8.7,7.9,5.5,4.5,0.4000000000000003,4.699999999999999,1.0999999999999996,10.0,8.6,11.4,9.6,10.3,12.5,7.3,6.6,9.3,9.4,11.7,15.4,-0.7000000000000011,-8.8,-5.2,6.0,1.4,22.8,4.8,5.1,60.0,40.0,2024,21.0,12.0,34.1,23.3,18.6,13.6,37.5,10.4,31.3,4.699999999999999,11.5,4.2,27.6,12.2,10.7,4.6,28.9,3.9,26.5,1.5,38.9,15.4,0.0,,,,,,,,,,,,,,,,,,,,14.0,30.9,30.0,16.83437991,,,,,99.4
CAF,Central African Republic,WCA,Low Income,2022.0,37.9,,,40.8,34.9,,,,,,,,5.899999999999999,,,5.2,,,,,,,,,,,,,,,1.5,1.2,1.8,1.5,1.5,,,,,,,,0.0,,,2.1,3.1,36.6,0.6,0.9,56.7,43.3,2024,38.9,36.3,41.7,41.5,36.3,38.8,44.4,33.7,39.1,5.200000000000003,2.3,1.5,3.4,2.4,2.1,1.6,3.7,1.4,3.2,0.2999999999999998,39.4,14.866666666666667,0.0,26.0,61.0,17.0,44.0,0.4262295081967213,41.15629,1.51483,18.6125,,,,,,,,,,,31.4,34.7,50.6,36.2,16.35473066,,,,33.1,26.97133
CHL,Chile,LAC,High Income,2014.0,1.8,,,2.1,1.6,,,,,,,,0.5,,,0.3,,,0.3,0.2,,,,,,,,0.0999999999999999,,,9.3,,,10.0,8.7,,,,,,,,1.3000000000000007,,,,,,,,,,2024,1.7,1.2,2.4,1.9,1.5,1.4,2.7,1.1,2.1,0.3999999999999999,8.7,4.5,16.3,9.3,8.1,4.8,17.2,4.1,15.7,1.200000000000001,11.1,3.8,1.0,,,,,,,,,,,,,,,,,,,,,,,6.83669713,,,,,99.44056
CHN,China,EAP,Upper Middle Income,2017.0,4.8,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,8.5,,,,,,,,,,,,,,,1.7,0.1,6.7,1.3,7.9,82.3,17.700000000000003,2024,4.5,3.4,5.9,4.8,4.2,3.7,6.4,3.2,5.5,0.5999999999999996,11.1,6.1,19.5,11.8,10.4,6.5,20.7,5.8,18.0,1.4000000000000004,13.3,5.066666666666666,1.0,0.0,3.0,1.0,2.0,0.0,,,,,,,,,,,,,,99.5,,,35.1,4.973518577,,,,97.0,99.59304
CIV,Cote d'Ivoire,WCA,Lower Middle Income,2021.0,23.4,21.8,25.1,24.3,22.6,18.0,28.2,30.4,28.4,22.8,17.7,10.9,1.6999999999999993,19.5,10.2,8.1,7.0,9.3,9.0,7.1,7.6,8.5,6.9,8.8,8.9,8.4,7.3,1.9000000000000004,-0.3999999999999994,0.9000000000000004,3.4,2.4,4.9,3.8,3.1,4.7,2.3,2.0,3.5,3.3,3.0,6.8,0.6999999999999997,-4.8,-2.4000000000000004,5.9,2.1,20.1,1.2,2.3,68.3,31.700000000000003,2024,20.3,17.8,22.9,22.3,18.3,19.7,25.2,16.1,20.8,4.0,3.5,2.4,5.2,3.8,3.3,2.6,5.6,2.2,4.9,0.5,26.8,11.633333333333333,0.0,7.0,26.0,2.0,24.0,0.2692307692307692,39.65555,6.86716,11.05056,36.7,30.8,43.8,50.0,44.2,43.3,34.3,20.0,30.0,12.999999999999996,,,,,18.28976148,52.16,,,53.1,47.03975
CMR,Cameroon,WCA,Lower Middle Income,2018.0,28.9,27.1,30.8,31.2,26.6,19.8,36.2,40.4,38.7,27.8,20.2,9.1,4.599999999999998,31.3,16.400000000000002,4.3,3.4,5.4,5.0,3.6,3.6,4.8,7.8,4.1,2.8,3.1,2.7,1.4,5.1,1.1999999999999995,11.0,9.2,13.0,12.2,9.7,10.3,11.5,10.8,10.0,12.7,10.4,11.3,2.5,-0.5,1.1999999999999993,3.1,1.2,23.3,4.4,6.6,61.4,38.6,2024,27.2,23.0,31.8,29.7,24.7,25.4,34.5,20.9,29.1,5.0,13.6,8.3,21.5,14.4,12.7,9.0,22.4,7.9,20.1,1.700000000000001,39.9,14.733333333333333,0.0,11.0,30.0,3.0,27.0,0.3666666666666666,55.33956,12.23916,18.22241,1.4,0.9,2.1,1.3,4.0,1.0,0.9,0.7,0.6000000000000001,1.2000000000000002,51.6,29.8,57.5,39.4,12.51261546,23.72,56.15,77.86,63.9,76.42093
COD,Democratic Republic of the Congo,WCA,Low Income,2023.0,44.7,,,47.2,42.0,,,,,,,,5.200000000000003,,,7.2,,,7.4,6.9,,,,,,,,0.5,,,3.8,,,4.1,3.4,,,,,,,,0.6999999999999997,,,4.1,2.4,37.5,1.9,1.9,52.2,47.8,2024,44.1,40.9,47.3,47.0,41.1,43.8,50.3,38.0,44.4,5.899999999999999,4.2,3.1,5.6,4.4,3.9,3.3,5.9,2.9,5.2,0.5000000000000004,48.5,18.566666666666663,0.0,8.0,29.0,6.0,23.0,0.2758620689655172,49.89312,5.44869,34.583209999999994,,,,,,,,,,,28.3,34.2,51.0,52.3,10.15699502,,,,66.4,79.71484
COG,Congo,WCA,Lower Middle Income,2014.0,21.2,19.7,22.7,22.4,20.0,17.1,27.9,30.4,24.4,18.3,13.9,14.5,2.3999999999999986,15.9,10.799999999999995,8.2,7.1,9.4,8.7,7.6,9.6,5.9,6.1,9.8,7.2,8.1,10.5,1.0999999999999996,-4.4,-3.6999999999999993,5.9,4.7,7.5,4.8,7.0,7.9,2.7,2.2,6.9,6.1,6.3,9.7,-2.2,-7.499999999999999,-5.2,6.8,1.4,17.8,2.0,3.9,68.1,31.90000000000001,2024,16.3,11.5,22.6,18.1,14.4,13.0,24.8,10.2,20.2,3.700000000000001,5.3,2.5,11.0,5.7,4.9,2.6,11.8,2.3,10.2,0.7999999999999998,27.1,11.766666666666666,0.0,7.0,27.0,6.0,21.0,0.2592592592592592,75.87832,26.34879,30.35543,,,,,,,,,,,32.2,28.2,60.5,32.9,11.92652931,54.35,,,81.66994420273112,76.94608
COL,Colombia,LAC,Upper Middle Income,2016.0,12.7,11.8,13.7,14.4,11.0,,,,,,,,3.4000000000000004,,,1.6,1.4,2.0,1.7,1.6,,,,,,,,0.0999999999999998,,,5.7,5.1,6.4,6.7,4.7,,,,,,,,2.0,,,1.5,0.2,11.6,1.0,4.8,81.0,19.0,2024,11.6,8.9,15.0,12.6,10.5,9.8,16.3,8.1,13.6,2.1,6.8,3.5,12.6,7.2,6.3,3.8,13.2,3.3,11.6,0.9000000000000004,18.4,6.666666666666667,0.0,5.0,23.0,7.0,16.0,0.217391304347826,85.75635,60.46019,50.77069,,,,,,,,,,,43.2,71.4,,36.7,10.95282506,,84.58,16.93,94.7,99.02527
COM,Comoros,ESA,Lower Middle Income,2022.0,18.2,16.5,19.9,19.2,17.1,15.5,19.4,26.3,19.1,15.7,15.6,12.5,2.099999999999998,13.8,3.899999999999999,5.1,4.3,5.9,5.9,4.2,5.4,4.9,4.5,6.0,6.0,4.2,4.4,1.7000000000000002,0.0999999999999996,-0.5,4.0,3.3,4.8,3.5,4.5,3.5,4.3,3.8,3.5,3.9,4.4,4.5,-1.0,-0.7000000000000002,0.7999999999999998,4.2,0.9,16.1,1.2,2.8,74.8,25.200000000000003,2024,17.4,15.3,19.8,19.3,15.5,17.1,22.0,13.7,17.7,3.8000000000000007,3.9,2.8,5.5,4.2,3.7,3.0,5.9,2.6,5.2,0.5,22.2,9.1,0.0,5.0,21.0,7.0,14.0,0.238095238095238,37.52539,13.45875,30.69419,,,,,,,,,,,28.7,36.9,41.9,22.6,23.02724006,,,,76.8,69.59522
CPV,Cabo Verde,WCA,Lower Middle Income,2018.0,6.0,,,6.2,5.9,4.5,8.6,11.3,5.2,4.2,2.3,6.9,0.2999999999999998,4.4,4.1,2.4,,,1.5,3.4,2.7,1.9,2.5,3.2,0.4,2.8,3.7,-1.9,-1.2000000000000002,-0.8000000000000003,6.1,,,6.6,5.6,6.2,5.9,4.7,4.0,6.8,3.8,12.6,1.0,-7.899999999999999,-0.2999999999999998,,,,,,,,2024,5.3,3.9,7.1,5.9,4.7,4.4,8.0,3.5,6.3,1.2000000000000002,8.4,4.6,14.8,8.9,7.8,4.9,15.9,4.3,13.8,1.1000000000000003,12.1,4.833333333333333,1.0,2.0,8.0,2.0,6.0,0.25,,,,,,,,,,,,,,58.1,53.4,,41.8,,,92.8,86.2,,98.73018
CRI,Costa Rica,LAC,Upper Middle Income,2018.0,9.0,6.5,12.4,10.2,7.7,10.4,6.0,8.8,8.4,6.8,8.7,13.7,2.499999999999999,-4.899999999999999,-4.4,1.8,1.3,2.5,1.8,1.8,2.0,1.3,2.0,1.5,2.4,1.3,1.7,0.0,0.3,-0.7,7.5,6.2,9.1,8.2,6.9,7.8,7.1,6.6,7.4,8.2,7.7,8.6,1.299999999999999,-2.0,-0.7000000000000002,1.5,0.2,8.4,0.3,7.2,82.3,17.700000000000003,2024,10.6,8.5,13.3,11.5,9.7,9.2,14.5,7.8,12.2,1.8000000000000007,7.9,4.6,13.2,8.4,7.3,4.9,14.1,4.3,12.4,1.1000000000000003,16.5,6.1000000000000005,0.0,2.0,17.0,,,0.1176470588235294,,,,,,,,,,,,,,46.4,80.3,,25.3,8.716621057,84.17,85.07,82.97,94.8,99.25812
CUB,Cuba,LAC,Upper Middle Income,2019.0,7.1,5.7,8.8,7.7,6.5,6.8,7.7,9.0,4.5,5.0,7.7,9.1,1.2000000000000002,-0.0999999999999996,0.9000000000000004,2.0,1.5,2.7,2.0,2.1,2.3,1.5,1.2,1.8,2.5,1.6,3.2,-0.1,-2.0,-0.7999999999999998,10.3,8.7,12.2,11.9,8.7,11.1,8.9,6.5,8.7,9.6,11.6,15.5,3.200000000000001,-9.0,-2.2,2.0,0.1,6.0,1.0,9.3,81.6,18.40000000000001,2024,7.3,5.9,9.1,8.0,6.6,6.5,10.0,5.3,8.3,1.4000000000000004,10.6,6.4,17.0,11.2,9.8,6.9,17.9,5.9,16.0,1.3999999999999986,17.4,6.466666666666666,1.0,5.0,29.0,6.0,23.0,0.1724137931034483,,,,,,,,,,,,,,53.0,89.6,,40.6,7.062041879,99.5,95.36,99.5,99.7,99.8952
CZE,Czechia,WE,High Income,2001.0,2.8,2.5,3.1,3.2,2.3,,,,,,,,0.9000000000000004,,,4.5,4.2,4.8,5.0,4.0,,,,,,,,1.0,,,4.6,4.3,5.0,4.8,4.4,,,,,,,,0.3999999999999994,,,4.6,0.1,2.3,0.4,4.0,88.7,11.299999999999995,2024,2.4,1.1,5.0,2.7,2.1,1.3,5.7,1.0,4.5,0.6000000000000001,6.6,2.0,19.6,7.0,6.1,2.1,21.3,1.8,18.6,0.9000000000000004,7.399999999999999,3.9666666666666655,1.0,,,,,,,,,,,,,,,,,,,,,,,7.609481314,99.5,99.5,99.5,,
DEU,Germany,WE,High Income,2016.0,1.3,0.5,3.1,0.4,2.2,0.4,2.4,0.0,3.1,1.1,0.7,1.1,-1.8000000000000005,-1.1,2.0,0.5,,,,,,,,,,,,,,,2.9,1.5,5.8,0.7,5.3,3.0,2.9,1.3,0.4,6.8,1.6,1.5,-4.6,-0.1999999999999999,-0.1,0.3,0.0,1.3,0.0,2.9,95.4,4.599999999999994,2024,2.2,1.6,3.1,2.5,1.9,1.8,3.6,1.4,2.8,0.6000000000000001,3.3,1.6,6.7,3.5,3.1,1.6,7.5,1.4,6.5,0.3999999999999999,4.2,1.5666666666666669,1.0,,,,,,,,,,,,,,,,,,,,,,,6.714126163,99.5,99.5,99.5,,
DJI,Djibouti,ESA,Lower Middle Income,2023.0,25.5,22.9,28.2,26.9,23.8,20.8,36.2,,,,,,3.099999999999998,,15.400000000000002,12.1,,,,,,,,,,,,,,,4.2,3.0,5.8,4.4,4.0,4.8,2.7,,,,,,0.4000000000000003,,-2.1,8.1,3.4,20.5,1.6,2.6,63.8,36.2,2024,20.9,18.9,23.1,22.9,18.9,20.8,25.3,17.1,21.0,4.0,5.5,4.1,7.3,5.8,5.1,4.4,7.8,3.8,6.9,0.7000000000000002,29.7,13.933333333333335,0.0,1.0,7.0,,,0.1428571428571428,,,,90.1,88.9,97.0,,,,,,,8.099999999999994,66.6,94.4,19.9,12.4,,,,94.95,,
DOM,Dominican Republic,LAC,Upper Middle Income,2019.0,6.7,6.0,7.5,7.5,5.9,6.4,7.5,9.6,7.0,5.0,5.1,6.1,1.5999999999999996,3.5,1.0999999999999996,2.2,1.8,2.7,2.6,1.7,2.2,2.2,2.9,2.1,1.7,2.1,1.8,0.9000000000000001,1.1,0.0,7.7,6.9,8.6,8.2,7.1,8.0,6.7,4.0,6.6,8.4,9.4,12.0,1.0999999999999996,-8.0,-1.2999999999999998,1.9,0.3,5.6,0.8,6.8,84.6,15.400000000000006,2024,5.6,4.7,6.8,6.2,5.0,5.2,7.5,4.2,6.1,1.2000000000000002,7.5,4.7,11.7,8.0,7.0,5.1,12.5,4.4,10.9,1.0,14.4,5.533333333333334,1.0,9.0,32.0,8.0,24.0,0.28125,94.23562,51.70661,37.999860000000005,,,,,,,,,,,56.6,84.5,,15.8,13.43542101,,76.42,83.06,94.4,98.86737
DZA,Algeria,MENA,Upper Middle Income,2019.0,9.8,9.0,10.7,11.6,7.9,9.5,10.2,13.5,8.9,8.2,8.8,8.7,3.6999999999999993,4.800000000000001,0.6999999999999993,2.7,2.3,3.1,3.0,2.4,2.9,2.4,2.9,2.5,2.9,2.2,3.1,0.6000000000000001,-0.2000000000000001,-0.5,12.8,11.9,13.7,13.4,12.1,12.4,13.2,12.4,11.9,12.9,13.3,13.8,1.3000000000000007,-1.4000000000000004,0.7999999999999989,2.5,0.2,6.8,2.8,9.9,77.7,22.3,2024,8.9,7.4,10.7,9.5,8.4,7.9,11.3,7.0,10.1,1.0999999999999996,13.3,8.5,20.2,14.1,12.5,8.9,21.8,8.1,18.9,1.5999999999999996,22.6,8.433333333333334,1.0,0.0,4.0,,,0.0,,,,,,,,,,,,,,44.9,47.0,,28.6,7.197213007,91.12,99.5,95.47,94.3,
ECU,Ecuador,LAC,Upper Middle Income,2024.0,17.4,16.6,18.3,19.2,15.6,15.3,21.2,,,,,,3.6,,5.899999999999999,0.7,0.6,0.9,0.8,0.6,0.7,0.7,,,,,,0.2,,0.0,4.5,4.1,4.9,4.7,4.3,4.9,3.7,,,,,,0.4000000000000003,,-1.2000000000000002,0.5,0.3,16.8,0.4,4.1,78.0,22.0,2024,17.7,16.3,19.2,19.3,16.1,17.9,21.0,14.9,17.6,3.2,4.7,3.9,5.7,5.0,4.4,4.1,6.2,3.6,5.3,0.5999999999999996,21.9,7.533333333333332,0.0,4.0,22.0,,,0.1818181818181818,,,,,,,,,,,,,,,70.7,,39.6,10.62690669,77.15,73.27,50.67,,99.13692
EGY,Egypt,MENA,Lower Middle Income,2021.0,12.8,12.0,13.7,13.0,12.7,11.8,13.5,16.9,14.6,13.3,10.5,,0.3000000000000007,,1.6999999999999993,3.3,2.9,3.8,3.5,3.2,4.4,2.7,3.6,2.7,2.9,3.7,,0.2999999999999998,,-1.7000000000000002,10.1,9.4,10.8,11.3,8.8,10.8,9.6,7.7,9.5,9.7,11.3,,2.5,,-1.200000000000001,3.0,0.3,10.3,2.2,7.9,76.3,23.700000000000003,2024,12.9,11.2,14.9,13.6,12.2,11.9,15.7,10.6,14.1,1.4000000000000004,11.2,8.0,15.6,11.9,10.5,8.4,16.7,7.3,14.9,1.4000000000000004,22.9,8.733333333333334,0.0,2.0,16.0,0.2,15.8,0.125,87.1154,18.88494,26.28697,87.2,77.4,92.6,94.4,92.6,92.2,87.2,69.8,24.60000000000001,15.199999999999989,47.2,64.5,,40.2,,,99.5,99.5,91.6,86.81055
ERI,Eritrea,ESA,Low Income,2010.0,52.5,50.9,54.1,53.5,51.6,40.4,57.8,58.9,59.0,60.8,49.3,29.1,1.8999999999999984,29.8,17.4,14.6,13.6,15.6,15.7,13.4,10.1,16.5,19.7,19.1,15.0,10.2,7.1,2.299999999999999,12.6,6.4,2.1,1.8,2.6,2.0,2.3,2.6,1.9,2.4,1.4,1.7,2.7,2.6,-0.2999999999999998,-0.2000000000000001,-0.7000000000000002,7.9,6.7,44.7,1.1,1.0,38.6,61.4,2024,48.0,34.3,61.9,51.1,44.7,37.2,64.9,31.4,59.0,6.399999999999999,2.8,1.1,7.0,2.9,2.6,1.1,7.4,1.0,6.5,0.2999999999999998,54.6,23.066666666666663,0.0,13.0,41.0,2.0,39.0,0.3170731707317073,,,,83.0,80.0,85.0,89.4,85.6,84.4,83.3,75.2,14.200000000000005,5.0,41.9,44.8,20.4,68.7,15.1601429,,33.03,4.84,,
EST,Estonia,WE,High Income,2014.0,1.2,0.7,2.2,0.7,1.8,1.5,0.6,0.0,2.0,1.1,1.9,0.3,-1.1,-0.3,-0.9,1.5,0.9,2.7,1.7,1.4,1.8,1.1,3.1,2.0,1.9,1.0,0.3,0.3,2.8000000000000003,-0.7,5.0,3.7,6.7,5.7,4.1,5.4,4.2,9.5,7.0,4.2,4.5,4.2,1.6000000000000003,5.3,-1.2000000000000002,1.5,0.0,1.1,0.1,4.9,92.3,7.700000000000003,2024,1.3,0.8,2.1,1.5,1.1,0.9,2.4,0.7,1.8,0.3999999999999999,5.6,2.5,11.9,5.9,5.2,2.6,12.9,2.4,11.1,0.7000000000000002,6.2,2.566666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,,4.173697894,99.5,99.5,99.5,,99.95904
ETH,Ethiopia,ESA,Low Income,2019.0,36.8,34.3,39.4,39.8,33.6,26.2,40.4,43.3,38.6,42.2,35.2,22.6,6.199999999999996,20.7,14.2,6.8,5.8,7.9,8.5,5.1,5.4,7.3,11.0,6.9,5.2,5.9,3.9,3.4000000000000004,7.1,1.9,2.3,1.5,3.5,2.4,2.2,2.4,2.3,2.4,2.9,1.6,2.1,2.3,0.1999999999999997,0.1,-0.1,4.1,2.7,33.1,1.0,1.3,57.8,42.2,2024,35.5,31.1,40.2,38.0,33.0,33.7,42.7,29.0,37.4,5.0,3.3,2.0,5.6,3.6,3.1,2.1,6.0,1.9,5.1,0.5,39.1,15.299999999999995,0.0,14.0,40.0,5.0,35.0,0.35,15.220210000000002,31.83477,25.18551,65.2,53.9,68.4,65.0,69.3,69.0,68.6,57.3,7.700000000000003,14.500000000000009,44.2,29.8,45.3,58.8,,28.5,,30.97,51.0,
FIN,Finland,WE,High Income,2023.0,2.8,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,,2024,1.7,1.5,1.9,1.9,1.5,1.7,2.2,1.3,1.7,0.3999999999999999,4.7,3.6,6.2,5.1,4.4,3.8,6.7,3.4,5.7,0.6999999999999993,7.1,2.9,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,4.069185571,99.5,99.5,99.5,,
FJI,Fiji,EAP,Upper Middle Income,2021.0,7.2,5.7,9.0,8.0,6.3,6.6,8.0,8.7,9.0,6.5,5.1,5.0,1.7000000000000002,3.6999999999999993,1.4000000000000004,4.6,3.6,5.8,4.2,5.0,5.0,4.1,4.0,4.1,4.0,4.3,7.8,-0.7999999999999998,-3.8,-0.9000000000000004,7.7,6.5,9.1,8.5,6.8,8.4,6.9,8.0,8.2,6.3,9.7,5.7,1.7000000000000002,2.3,-1.5,4.0,0.6,4.8,1.8,5.9,82.9,17.099999999999994,2024,7.2,6.2,8.4,7.7,6.7,6.5,9.0,5.7,8.0,1.0,7.3,5.0,10.6,7.8,6.8,5.4,11.2,4.7,9.9,1.0,14.9,6.5,1.0,0.0,4.0,2.0,2.0,0.0,,,,,,,,,,,,,,57.3,,,42.9,7.401885145,77.62,90.54,43.11,,
GAB,Gabon,WCA,Upper Middle Income,2020.0,14.4,12.9,15.9,15.7,12.9,12.9,27.0,25.9,16.7,12.8,8.8,4.6,2.799999999999999,21.3,14.1,3.4,2.8,4.1,3.3,3.5,3.4,3.7,3.4,4.0,3.0,4.4,2.1,-0.2000000000000001,1.2999999999999998,0.3000000000000002,5.0,4.2,6.1,5.2,4.8,5.1,4.8,4.5,3.8,4.2,5.0,8.5,0.4000000000000003,-4.0,-0.2999999999999998,2.9,0.5,12.7,1.1,3.9,78.8,21.200000000000003,2024,13.7,11.6,16.2,15.3,12.1,13.1,18.1,10.3,14.5,3.200000000000001,6.1,3.8,9.4,6.5,5.7,4.1,10.1,3.6,8.7,0.7999999999999998,19.4,7.6,0.0,3.0,13.0,5.0,8.0,0.2307692307692307,76.47734,15.558739999999998,18.85968,,,,,,,,,,,49.7,67.1,19.0,19.4,14.64981828,65.78,,66.12,66.9,89.42925
GBR,United Kingdom,WE,High Income,2018.0,2.0,1.9,2.0,1.8,2.1,,,,,,,,-0.3,,,0.4,,,,,,,,,,,,,,,6.5,6.4,6.6,6.3,6.6,,,,,,,,-0.2999999999999998,,,0.3,0.0,1.9,0.1,6.4,91.3,8.700000000000003,2024,3.5,3.0,4.1,3.9,3.1,3.4,4.6,2.7,3.6,0.7999999999999998,7.8,5.2,11.5,8.3,7.3,5.5,12.4,4.8,10.8,1.0000000000000009,8.5,2.966666666666667,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,6.827130399,,,,,
GEO,Georgia,EECA,Upper Middle Income,2018.0,5.8,4.4,7.5,5.1,6.4,5.3,6.4,7.9,5.7,7.8,4.8,2.9,-1.3000000000000007,5.0,1.1000000000000003,0.6,0.3,1.5,0.7,0.6,0.7,0.6,0.8,0.6,0.7,0.0,1.0,0.0999999999999999,-0.1999999999999999,-0.0999999999999999,6.0,4.8,7.5,7.2,4.8,5.6,6.6,3.4,8.9,6.4,5.9,5.3,2.4000000000000004,-1.9,1.0,0.6,0.0,5.7,0.0,6.0,87.6,12.400000000000006,2024,4.7,3.7,5.9,5.0,4.4,4.0,6.3,3.5,5.6,0.5999999999999996,4.1,2.3,7.1,4.4,3.8,2.5,7.6,2.2,6.6,0.6000000000000005,11.8,4.133333333333333,1.0,0.0,9.0,1.0,8.0,0.0,,,,,,,,,,,,,,54.5,73.6,,20.4,7.420559377,,,,,99.72914
GHA,Ghana,WCA,Lower Middle Income,2022.0,17.4,15.9,19.0,19.4,15.3,15.1,19.6,22.8,22.0,16.9,15.5,7.5,4.099999999999998,15.3,4.500000000000002,5.8,4.9,6.8,6.6,5.0,5.7,5.9,5.6,7.6,4.7,6.1,4.7,1.5999999999999996,0.8999999999999995,0.2000000000000001,2.0,1.5,2.5,2.1,1.8,2.2,1.7,1.6,1.3,2.3,2.0,2.9,0.3,-1.2999999999999998,-0.5000000000000002,4.0,1.8,15.3,0.3,1.7,77.0,23.0,2024,15.6,13.9,17.5,17.3,13.8,15.5,19.5,12.4,15.7,3.5,1.8,1.3,2.5,1.9,1.7,1.4,2.7,1.2,2.4,0.1999999999999999,19.4,8.4,0.0,3.0,16.0,2.0,14.0,0.1875,80.57997,16.68087,59.200660000000006,2.4,1.2,3.6,7.3,2.1,1.7,0.9,1.0,6.3,2.4000000000000004,36.2,43.2,49.0,52.6,14.41585206,78.48,58.73,53.56,67.8,83.23453
GIN,Guinea,WCA,Lower Middle Income,2022.0,26.1,24.5,27.8,29.1,23.2,,,,,,,,5.900000000000002,,,6.4,5.6,7.3,7.2,5.6,,,,,,,,1.6000000000000003,,,3.3,2.6,4.2,3.5,3.2,,,,,,,,0.2999999999999998,,,3.9,2.6,22.1,0.7,2.6,68.1,31.90000000000001,2024,26.6,24.2,29.2,28.7,24.5,26.2,31.5,22.2,27.2,4.199999999999999,4.4,3.2,6.1,4.7,4.1,3.4,6.5,3.0,5.7,0.6000000000000005,29.4,11.933333333333332,0.0,17.0,47.0,2.0,45.0,0.3617021276595745,55.81027,2.5509500000000003,30.57947,94.5,94.8,94.3,94.6,94.0,93.3,95.5,95.0,-0.4000000000000057,-0.5,67.6,69.4,38.2,43.7,,,52.13,,49.06192949093671,37.21018
