ISO,country,unicef_region,income_group,data_year,stunting_national,stunting_national_ll,stunting_national_ul,stunting_male,stunting_female,stunting_urban,stunting_rural,stunting_Q1_poorest,stunting_Q2,stunting_Q3,stunting_Q4,stunting_Q5_richest,stunting_gender_gap,stunting_wealth_gap,stunting_urban_rural_gap,wasting_national,wasting_national_ll,wasting_national_ul,wasting_male,wasting_female,wasting_urban,wasting_rural,wasting_Q1_poorest,wasting_Q2,wasting_Q3,wasting_Q4,wasting_Q5_richest,wasting_gender_gap,wasting_wealth_gap,wasting_urban_rural_gap,overweight_national,overweight_national_ll,overweight_national_ul,overweight_male,overweight_female,overweight_urban,overweight_rural,overweight_Q1_poorest,overweight_Q2,overweight_Q3,overweight_Q4,overweight_Q5_richest,overweight_gender_gap,overweight_wealth_gap,overweight_urban_rural_gap,wasted_only_pct,wasted_and_stunted_pct,stunted_only_pct,stunted_and_overweight_pct,overweight_only_pct,free_from_malnutrition_pct,any_malnutrition_pct,model_year,stunting_model_national,stunting_model_national_ll,stunting_model_national_ul,stunting_model_male,stunting_model_female,stunting_model_male_ll,stunting_model_male_ul,stunting_model_female_ll,stunting_model_female_ul,stunting_model_gender_gap,overweight_model_national,overweight_model_national_ll,overweight_model_national_ul,overweight_model_male,overweight_model_female,overweight_model_male_ll,overweight_model_male_ul,overweight_model_female_ll,overweight_model_female_ul,overweight_model_gender_gap,double_burden_index,malnutrition_composite_score,nutrition_transition_flag,female_married_by_15,female_married_by_18,male_married_by_18,marriage_gap_18,early_marriage_ratio,anc4_15_19_pct,modern_contraceptive_pct,ors_usage_pct,fgm_prevalence_pct,fgm_urban_pct,fgm_rural_pct,fgm_wealth_Q1_poorest,fgm_wealth_Q2,fgm_wealth_Q3,fgm_wealth_Q4,fgm_wealth_Q5_richest,fgm_wealth_gap,fgm_urban_rural_gap,diarrhoea_care_pct,pneumonia_care_pct,itn_use_pct,exclusive_bf_pct,low_birthweight_pct,wat_bas_nat,san_bas_nat,hyg_bas_nat,completion_primary_f,literacy_f
BFA,Burkina Faso,WCA,Low Income,2021.0,21.1,19.9,22.4,24.5,17.5,,,,,,,,7.0,,,9.3,8.6,10.1,10.6,8.0,,,,,,,,2.6,,,1.5,1.2,1.9,1.8,1.2,,,,,,,,0.6000000000000001,,,6.3,3.1,17.3,0.7,0.8,71.8,28.200000000000003,2024,19.5,18.1,21.0,21.5,17.5,20.1,23.3,16.3,19.0,4.0,2.8,2.2,3.6,3.0,2.6,2.3,3.9,2.0,3.4,0.3999999999999999,22.6,10.633333333333336,0.0,9.0,51.0,2.0,49.0,0.1764705882352941,31.99334,6.16955,26.4942,56.1,50.2,58.9,59.3,60.4,60.1,56.9,46.9,12.4,8.699999999999996,62.5,77.4,67.4,51.3,18.46865415,62.81,48.37,49.95,29.4,43.98583
BGD,Bangladesh,SA,Lower Middle Income,2022.0,23.6,22.0,25.2,23.8,23.3,22.0,24.1,34.3,27.2,22.0,17.8,15.2,0.5,19.1,2.1000000000000014,10.7,9.7,11.8,10.3,11.1,10.7,10.7,12.7,11.4,10.2,9.3,9.8,-0.7999999999999989,2.8999999999999986,0.0,1.6,1.2,2.1,1.4,1.8,1.5,1.6,0.6,1.3,1.4,2.0,2.7,-0.4000000000000001,-2.1,0.1,7.4,3.3,19.8,0.5,1.1,68.0,32.0,2024,25.1,23.0,27.3,25.7,24.4,23.7,27.9,22.4,26.6,1.3000000000000007,1.6,1.2,2.2,1.7,1.5,1.3,2.3,1.1,2.0,0.1999999999999999,25.200000000000003,11.966666666666669,0.0,17.0,51.0,4.0,47.0,0.3333333333333333,32.41478,46.74079,72.33476,,,,,,,,,,,29.5,46.4,,53.3,23.04670249,89.65,86.59,92.16,78.8,94.37776
BGR,Bulgaria,EECA,High Income,2014.0,7.0,,,9.5,4.1,,,,,,,,5.4,,,5.9,,,,,,,,,,,,,,,6.9,,,9.6,4.1,,,,,,,,5.5,,,4.5,0.2,7.1,1.8,5.0,81.3,18.700000000000003,2024,5.5,3.6,8.4,5.9,5.2,3.8,9.0,3.4,7.9,0.7000000000000002,5.5,2.4,12.1,5.8,5.1,2.6,12.7,2.2,11.3,0.7000000000000002,13.9,6.6000000000000005,0.0,,,,,,,,,,,,,,,,,,,,,,,11.36161178,,,,,97.65106
BHR,Bahrain,MENA,High Income,1995.0,13.6,,,,,,,,,,,,,,,6.6,,,,,,,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,,,,2024,4.6,2.0,10.1,5.2,4.1,2.3,11.4,1.8,9.0,1.1000000000000003,,,,,,,,,,,21.1,9.233333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,,12.44146062,99.5,99.5,99.5,,94.9168
BIH,Bosnia and Herzegovina,EECA,Upper Middle Income,2012.0,8.9,6.9,11.3,8.9,8.9,10.8,7.9,10.1,9.6,6.8,7.6,10.3,0.0,-0.200000000000001,-2.9000000000000004,2.3,1.5,3.7,2.3,2.4,1.8,2.6,1.9,2.9,2.6,1.5,2.7,-0.1,-0.8000000000000003,0.8,17.4,15.0,20.0,16.7,18.0,21.1,15.6,13.6,15.4,15.7,20.7,20.7,-1.3000000000000007,-7.1,-5.500000000000002,2.3,0.0,4.9,3.9,13.4,75.4,24.599999999999994,2024,7.9,4.9,12.5,8.4,7.4,5.4,13.1,4.6,11.7,1.0,13.0,5.6,27.3,13.8,12.2,6.3,27.9,5.4,25.5,1.6000000000000014,26.3,9.533333333333331,1.0,0.0,4.0,0.0,4.0,0.0,,,,,,,,,,,,,,4.6,87.0,,18.2,5.154733974,99.5,78.9,59.9,99.9,99.66747
BLR,Belarus,EECA,Upper Middle Income,2023.0,1.2,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,1.9,0.3,3.2,1.0,8.8,84.9,15.099999999999994,2024,1.1,1.0,1.4,1.2,1.1,1.0,1.5,0.9,1.3,0.0999999999999998,3.4,2.5,4.6,3.6,3.2,2.7,5.0,2.3,4.3,0.3999999999999999,4.2,1.8333333333333333,1.0,0.0,5.0,2.0,3.0,0.0,,,,,,,,,,,,,,57.8,92.8,,21.7,5.122986416,99.5,99.5,99.5,99.5,
BLZ,Belize,LAC,Upper Middle Income,2015.0,15.0,12.9,17.3,16.2,13.7,10.6,17.6,26.1,14.5,12.5,10.4,5.4,2.5,20.700000000000003,7.000000000000002,1.8,1.2,2.6,2.1,1.4,2.8,1.1,0.7,1.5,2.0,3.1,2.1,0.7000000000000002,-1.4,-1.6999999999999995,7.3,6.0,8.9,8.0,6.5,10.6,5.3,3.8,6.8,8.4,11.0,7.8,1.5,-4.0,-5.3,1.7,0.1,14.2,0.6,6.7,76.7,23.3,2024,11.7,8.5,15.9,12.8,10.5,9.5,17.2,7.7,14.5,2.3000000000000007,5.6,2.8,10.9,6.0,5.3,3.1,11.6,2.6,10.4,0.7000000000000002,22.3,8.033333333333333,0.0,6.0,34.0,22.0,12.0,0.1764705882352941,,,,,,,,,,,,,,37.7,67.4,,33.2,11.5589646,,,,86.3,
BOL,Bolivia (Plurinational State of),LAC,Lower Middle Income,2016.0,16.1,14.9,17.3,16.1,16.1,12.2,24.0,,,,,,0.0,,11.8,2.0,1.5,2.5,2.5,1.4,2.1,1.7,,,,,,1.1,,-0.4000000000000001,10.1,9.1,11.3,11.1,9.2,10.9,8.7,,,,,,1.9000000000000004,,-2.200000000000001,1.7,0.3,13.7,2.2,8.0,74.2,25.8,2024,10.7,8.2,13.8,11.8,9.7,9.2,15.1,7.5,12.6,2.1000000000000014,9.9,5.2,18.0,10.5,9.2,5.8,18.4,5.0,16.6,1.3000000000000007,26.200000000000003,9.4,0.0,3.0,20.0,5.0,15.0,0.15,69.22243,26.55486,28.27076,,,,,,,,,,,64.7,81.4,,55.7,7.933435546,,,,,99.40421
BRA,Brazil,LAC,Upper Middle Income,2019.0,8.0,7.1,8.9,9.0,6.9,,,8.5,10.5,8.9,7.2,4.4,2.1,4.1,,3.4,2.9,4.1,3.8,3.1,,,3.6,3.4,4.1,3.5,2.5,0.6999999999999997,1.1,,9.6,8.7,10.6,10.0,9.2,,,8.3,8.8,10.1,10.7,10.3,0.8000000000000007,-2.0,,2.5,0.5,5.8,1.3,9.0,81.3,18.700000000000003,2024,8.9,7.4,10.7,9.7,8.1,8.1,11.7,6.7,9.8,1.5999999999999996,10.9,6.8,16.9,11.6,10.2,7.4,17.8,6.4,15.9,1.4000000000000004,17.6,7.0,1.0,6.0,26.0,,,0.2307692307692307,75.34401,47.17056,57.33195,,,,,,,,,,,,49.7,,45.8,8.698070886,,86.12,,97.2,99.3467
BRB,Barbados,LAC,High Income,2012.0,7.7,5.3,11.0,8.9,6.4,8.0,7.2,7.5,8.6,7.9,10.1,3.1,2.5,4.4,-0.7999999999999998,6.8,4.5,10.0,8.3,5.0,8.1,4.4,10.0,6.0,4.9,6.2,6.9,3.3000000000000007,3.1,-3.6999999999999993,12.2,9.1,16.2,11.3,13.3,11.4,13.7,11.1,6.7,12.8,16.9,13.0,-2.0,-1.9000000000000004,2.299999999999999,5.7,1.0,4.9,1.8,10.5,76.1,23.90000000000001,2024,5.8,3.4,9.6,6.5,5.0,3.9,10.9,3.0,8.6,1.5,13.0,5.6,27.5,13.8,12.2,6.0,29.0,5.3,25.9,1.6000000000000014,19.9,8.9,1.0,8.0,29.0,,,0.2758620689655172,,,,,,,,,,,,,,,,,19.7,,99.5,99.5,99.5,99.2,99.9
