ISO,country,year,sdg_region,unicef_reporting_region,wat_bas_nat,wat_lim_nat,wat_none_nat,san_bas_nat,san_lim_nat,san_none_nat,hyg_bas_nat,hyg_lim_nat,hyg_none_nat,all_basic_missing
CIV,Côte d’Ivoire,2023,Sub-Saharan Africa,Sub-Saharan Africa,52.16,18.61,29.23,,,49.5,,,43.27,False
COD,Democratic Republic of the Congo,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,57.62,,,12.62,,,,True
DNK,Denmark,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
DJI,Djibouti,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,6.09,,,7.07,94.95,,,False
DMA,Dominica,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
DOM,Dominican Republic,2023,Latin America and the Caribbean,Latin America and Caribbean,,,11.25,76.42,,,83.06,,,False
ECU,Ecuador,2023,Latin America and the Caribbean,Latin America and Caribbean,77.15,16.13,6.73,73.27,17.87,8.86,50.67,26.33,23.0,False
EGY,Egypt,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,99.5,0.5,0.5,99.5,0.5,0.5,False
SLV,El Salvador,2023,Latin America and the Caribbean,Latin America and Caribbean,81.72,9.93,8.36,84.46,9.04,6.5,,,,False
GNQ,Equatorial Guinea,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,72.01,,,37.22,,,,True
ERI,Eritrea,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,33.03,,,4.84,,,False
EST,Estonia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
SWZ,Eswatini,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,13.6,,,0.5,,,,True
ETH,Ethiopia,2023,Sub-Saharan Africa,Sub-Saharan Africa,28.5,0.5,71.5,,,52.05,30.97,0.5,68.33,False
FJI,Fiji,2023,Oceania,East Asia and Pacific,77.62,0.5,22.38,90.54,9.46,0.5,43.11,0.5,56.89,False
FIN,Finland,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
FRA,France,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
GAB,Gabon,2023,Sub-Saharan Africa,Sub-Saharan Africa,65.78,11.22,23.0,,,36.75,66.12,21.95,11.93,False
GMB,Gambia,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,22.17,64.98,35.02,0.5,,,62.46,False
GEO,Georgia,2023,Northern Africa and Western Asia,Europe and Central Asia,,,,,,,,,,True
DEU,Germany,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
GHA,Ghana,2023,Sub-Saharan Africa,Sub-Saharan Africa,78.48,3.71,17.81,58.73,23.94,17.33,53.56,8.15,38.3,False
GIB,Gibraltar,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
GRD,Grenada,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
GTM,Guatemala,2023,Latin America and the Caribbean,Latin America and Caribbean,,,30.03,72.15,,,,,,False
GIN,Guinea,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,41.89,52.13,34.2,13.67,,,62.4,False
GNB,Guinea-Bissau,2023,Sub-Saharan Africa,Sub-Saharan Africa,63.17,2.27,34.56,36.88,22.96,40.16,74.69,7.08,18.22,False
GUY,Guyana,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,,True
HTI,Haiti,2023,Latin America and the Caribbean,Latin America and Caribbean,,,,,,,,,,True
HND,Honduras,2023,Latin America and the Caribbean,Latin America and Caribbean,78.07,0.5,21.93,89.49,,,,,,False
HUN,Hungary,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
IND,India,2023,Central and Southern Asia,South Asia,94.91,0.5,5.09,84.34,2.68,12.97,52.89,22.55,24.56,False
IDN,Indonesia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,75.52,11.07,13.41,70.62,15.74,13.64,68.74,0.5,31.26,False
IRN,Iran (Islamic Republic of),2023,Central and Southern Asia,Middle East and North Africa,,,,,,,,,,True
IRQ,Iraq,2023,Northern Africa and Western Asia,Middle East and North Africa,60.25,24.32,15.43,56.63,34.13,9.24,66.43,21.84,11.73,False
ISR,Israel,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
ITA,Italy,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
JAM,Jamaica,2023,Latin America and the Caribbean,Latin America and Caribbean,94.89,,,95.72,,,99.5,0.5,0.5,False
JOR,Jordan,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,,,0.5,,,,False
KEN,Kenya,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,,,,,True
KIR,Kiribati,2023,Oceania,East Asia and Pacific,,,24.2,66.16,,,86.79,6.99,6.22,False
KWT,Kuwait,2023,Northern Africa and Western Asia,Middle East and North Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
KGZ,Kyrgyzstan,2023,Central and Southern Asia,Europe and Central Asia,,,,,,,,,,True
LAO,Lao People's Democratic Republic,2023,Eastern and South-Eastern Asia,East Asia and Pacific,49.14,27.78,23.08,31.55,,,,,39.63,False
LVA,Latvia,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
LBN,Lebanon,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,,,,,,,True
LSO,Lesotho,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,,,,,True
LBR,Liberia,2023,Sub-Saharan Africa,Sub-Saharan Africa,55.04,,,,,,67.62,,,False
LBY,Libya,2023,Northern Africa and Western Asia,Middle East and North Africa,,,,,,0.5,,,,True
LTU,Lithuania,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
LUX,Luxembourg,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
MDG,Madagascar,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,44.22,39.17,31.24,29.59,,,50.23,False
MWI,Malawi,2023,Sub-Saharan Africa,Sub-Saharan Africa,92.47,1.11,6.42,74.33,,,44.21,,,False
MYS,Malaysia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,95.35,4.65,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
MDV,Maldives,2023,Central and Southern Asia,South Asia,99.5,0.5,0.5,,,,,,,False
MLI,Mali,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,6.32,29.78,,,,,,False
MLT,Malta,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
MHL,Marshall Islands,2023,Oceania,East Asia and Pacific,66.83,,,78.36,,,70.15,,,False
MRT,Mauritania,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,30.69,,,,,,False
MUS,Mauritius,2023,Sub-Saharan Africa,Sub-Saharan Africa,99.5,0.5,0.5,99.5,0.5,0.5,99.5,,,False
MEX,Mexico,2023,Latin America and the Caribbean,Latin America and Caribbean,71.09,17.43,11.48,69.58,,,79.16,,,False
FSM,Micronesia (Federated States of),2023,Oceania,East Asia and Pacific,85.55,0.5,14.29,79.44,14.44,6.12,81.63,0.5,18.37,False
MCO,Monaco,2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
MNG,Mongolia,2023,Eastern and South-Eastern Asia,East Asia and Pacific,,,,,,,,,,True
MNE,Montenegro,2023,Europe and Northern America,Europe and Central Asia,81.95,9.35,8.7,11.39,87.86,0.5,,,,False
MSR,Montserrat,2023,Latin America and the Caribbean,Latin America and Caribbean,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
MAR,Morocco,2023,Northern Africa and Western Asia,Middle East and North Africa,89.51,,,96.08,0.5,3.92,87.07,,,False
MOZ,Mozambique,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,60.03,,,46.81,,,,True
MMR,Myanmar,2023,Eastern and South-Eastern Asia,East Asia and Pacific,77.05,,,73.52,,,58.66,,,False
NAM,Namibia,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,,,,35.06,,,,True
NRU,Nauru,2023,Oceania,East Asia and Pacific,99.5,0.5,0.5,99.5,0.5,0.5,90.02,9.98,0.5,False
NPL,Nepal,2023,Central and Southern Asia,South Asia,55.44,23.59,20.98,38.97,40.12,20.91,41.61,,,False
NLD,Netherlands (Kingdom of the),2023,Europe and Northern America,Europe and Central Asia,99.5,0.5,0.5,99.5,0.5,0.5,99.5,0.5,0.5,False
NIC,Nicaragua,2023,Latin America and the Caribbean,Latin America and Caribbean,53.27,7.93,38.8,28.54,,,,,,False
NER,Niger,2023,Sub-Saharan Africa,Sub-Saharan Africa,,,74.55,25.39,17.34,57.27,41.77,0.5,58.23,False
